country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
"UK, USA, Ireland, Switzerland",35,35,75,75,40,40,1.15,1
"UK, Sweden, Canada, USA",13,13,4,4,-9,-9,-0.69,1
"China, Hong Kong, USA",32,32,137,137,105,105,3.27,1
"UK, Spain, Germany, USA",130,130,119,119,-11,-11,-0.08,1
"UK, Spain, Germany",5,5,12,12,7,7,1.23,1
"UK, New Zealand, USA, India",20,20,26,26,6,6,0.3,1
"UK, Norway, Canada, USA, France, Germany",60,60,76,76,16,16,0.27,1
"UK, Norway, Denmark, Germany, Sweden",17,17,23,23,6,6,0.38,1
"UK, Puerto Rico, USA",10,10,1,1,-9,-9,-0.94,1
"UK, Romania, France, USA",8,8,1,1,-8,-8,-0.9,1
"UK, Russia, China, Japan",26,26,151,151,125,125,4.82,1
"UK, Russia, Italy, France, Netherlands",4,4,5,5,1,1,0.34,1
"China, Japan",25,25,97,97,72,72,2.88,1
"UK, South Africa, France",35,35,27,27,-8,-8,-0.22,1
"UK, South Africa, Italy",18,18,34,34,16,16,0.94,1
"UK, South Africa, USA, India",50,50,36,36,-14,-14,-0.29,1
"UK, South Korea",40,40,2,2,-38,-38,-0.96,1
"China, India, Hong Kong, USA",16,16,72,72,56,56,3.48,1
"UK, Spain, Belgium",25,25,0,0,-25,-25,-0.99,1
"UK, Spain, France",24,24,2,2,-22,-22,-0.92,1
"Chile, France",3,3,1,1,-2,-2,-0.81,1
"UK, USA, Italy",10,10,11,11,1,1,0.09,1
"Chile, Colombia, Spain",26,26,25,25,-1,-1,-0.04,1
"USA, Australia, Hong Kong, Switzerland, China",25,25,30,30,4,4,0.18,1
"USA, Australia, Spain",100,100,94,94,-6,-6,-0.06,1
"USA, Australia, Switzerland, Canada",50,50,100,100,50,50,1.0,1
"USA, Australia, UK",150,150,246,246,96,96,0.64,1
"USA, Austria, Switzerland",2,2,6,6,3,3,1.39,1
"USA, Belgium, Canada",110,110,564,564,454,454,4.12,1
"USA, Brazil",90,90,484,484,394,394,4.38,1
"USA, Brazil, Japan",125,125,626,626,501,501,4.01,1
"Canada, USA, Mexico",12,12,4,4,-9,-9,-0.69,1
"Canada, USA, Japan",27,27,102,102,75,75,2.76,1
"Canada, USA, Hungary, UK",18,18,14,14,-4,-4,-0.2,1
"Canada, USA, Germany",8,8,1,1,-7,-7,-0.89,1
"USA, Canada, Bulgaria",65,65,456,456,391,391,6.02,1
"USA, Canada, China",10,10,74,74,64,64,6.41,1
"Canada, Brazil, Japan",25,25,20,20,-5,-5,-0.21,1
"USA, Canada, France, UK, India",38,38,125,125,87,87,2.3,1
"USA, Australia, Mexico",25,25,37,37,12,12,0.48,1
"USA, Australia, Germany",120,120,94,94,-26,-26,-0.22,1
"UK, USA, Japan, Germany",40,40,34,34,-6,-6,-0.15,1
"Canada, USA, Spain, South Korea",15,15,5,5,-10,-10,-0.7,1
"Canada, United Arab Emirates, USA",22,22,13,13,-9,-9,-0.41,1
"UK, USA, Mexico",12,12,17,17,5,5,0.43,1
"UK, USA, New Zealand",25,25,9,9,-16,-16,-0.66,1
"UK, USA, Qatar",11,11,54,54,43,43,3.9,1
"UK, USA, South Africa, Germany",30,30,22,22,-8,-8,-0.26,1
"UK, USA, United Arab Emirates",10,10,137,137,127,127,12.68,1
"UK, USA, West Germany",36,36,55,55,19,19,0.54,1
"UK, United Arab Emirates, Romania, Morocco",4,4,0,0,-4,-4,-0.89,1
"UK, West Germany",47,47,8,8,-39,-39,-0.83,1
"Canada, USA, UK, Australia",11,11,68,68,57,57,5.2,1
"USA, Argentina",50,50,159,159,109,109,2.17,1
"USA, Argentina, Jordan",4,4,0,0,-3,-3,-0.93,1
"USA, Argentina, Mexico",20,20,6,6,-14,-14,-0.72,1
"USA, Argentina, Spain, Italy",5,5,3,3,-2,-2,-0.43,1
"Canada, USA, Switzerland",43,43,57,57,14,14,0.32,1
"USA, Germany, Ireland, UK, Netherlands",10,10,4,4,-6,-6,-0.59,1
"USA, Germany, Paraguay, Uruguay",135,135,164,164,29,29,0.21,1
"USA, Germany, Japan, UK, Hong Kong",95,95,157,157,62,62,0.65,1
"USA, UK, Bulgaria, Canada",50,50,45,45,-5,-5,-0.11,1
"Australia, UK",2,2,5,5,3,3,1.52,1
"USA, Taiwan, UK, Canada",120,120,609,609,489,489,4.08,1
"Australia, South Africa",10,10,1,1,-9,-9,-0.94,1
"Australia, Germany, USA",4,4,1,1,-3,-3,-0.71,1
"USA, UK, Australia, Canada",170,170,353,353,183,183,1.08,1
"USA, UK, Belgium, Canada",110,110,296,296,186,186,1.7,1
"USA, UK, Bulgaria",32,32,39,39,7,7,0.23,1
"Australia, China, Germany, USA",40,40,8,8,-32,-32,-0.81,1
"Australia, Bhutan, UK",2,2,1,1,-1,-1,-0.61,1
"USA, UK, Canada, China",95,95,114,114,19,19,0.2,1
"USA, UK, Canada, Japan",60,60,48,48,-12,-12,-0.21,1
"USA, UK, Canada, Switzerland",55,55,300,300,245,245,4.46,1
"USA, UK, China",90,90,371,371,281,281,3.12,1
"USA, UK, Czech Republic, Canada, Germany",60,60,173,173,113,113,1.88,1
"USA, UK, Denmark, France, Japan, New Zealand, Germany, Australia",70,70,20,20,-50,-50,-0.72,1
"USA, UK, France, Canada, Germany",25,25,109,109,84,84,3.35,1
"USA, Sweden, Norway",90,90,233,233,143,143,1.58,1
"USA, Sweden, Hungary",10,10,41,41,31,31,3.11,1
"Australia, USA, South Africa",150,150,375,375,225,225,1.5,1
"USA, Spain, UK, France",40,40,24,24,-16,-16,-0.4,1
"Bahamas, USA",5,5,1,1,-4,-4,-0.86,1
"USA, Russia, Hungary",92,92,305,305,213,213,2.31,1
"USA, Saudi Arabia",25,25,4,4,-21,-21,-0.82,1
"USA, Serbia, Canada",14,14,91,91,77,77,5.7,1
"Austria, UK, USA",30,30,54,54,24,24,0.8,1
"USA, South Korea",80,80,529,529,449,449,5.61,1
"USA, South Korea, Australia",74,74,325,325,251,251,3.39,1
"Austria, France, Germany",9,9,20,20,11,11,1.23,1
"USA, Spain, Bulgaria",50,50,87,87,37,37,0.74,1
"USA, Spain, Chile, Peru",5,5,13,13,8,8,1.53,1
"USA, Spain, France, UK",190,190,209,209,19,19,0.1,1
"USA, Spain, Germany",28,28,0,0,-28,-28,-0.99,1
"USA, Spain, Hungary",185,185,204,204,19,19,0.1,1
"USA, Spain, Hungary, Serbia",26,26,30,30,4,4,0.14,1
"USA, Spain, Mexico",20,20,69,69,49,49,2.44,1
"USA, UK, France, Germany",6,6,3,3,-3,-3,-0.42,1
